id,title,description,name,currency,isPublic,shouldSynchronize,price,taxPercent,total,stripeProductId,stripePriceId,createdAt,updatedAt,deletedAt,startPrice,startTotal,stripeStartPriceId,taxId,project,interval,intervalCount,productId,type
84,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_39_99_without_coupon_old,USD,t,t,33.33,20.00,39.99,prod_SCC9MRPhm7ikvh,price_1RHnlIGPQMseK89OxWZHWvtr,2025-04-25 15:01:33.572258,2025-04-25 15:01:57.258485,,33.33,39.99,price_1RHnlIGPQMseK89OxWZHWvtr,4,controlplus,month,3,,main
85,CP+ Subscription year W2W,CP+ Subscription year W2W Plan,upplus_year_web2wave_99_99_old,USD,t,t,83.33,20.00,99.99,prod_SJypZ8GAfE0A7n,price_1RPKs5GPQMseK89OVO48ULPB,2025-05-16 09:45:16.719774,2025-05-16 09:48:06.421773,,83.33,99.99,price_1RPKs5GPQMseK89OVO48ULPB,4,controlplus,year,1,,main
86,CP+ Subscription weekly W2W,CP+ Subscription weekly W2W,upplus_weekly_web2wave_9_99_old,USD,t,t,8.33,20.00,9.99,prod_SJypxcmGy11VJs,price_1RPKs3GPQMseK89OxlKR5Tb1,2025-05-16 09:45:16.882476,2025-05-16 09:48:04.481941,,8.33,9.99,price_1RPKs3GPQMseK89OxlKR5Tb1,4,controlplus,week,1,,main
87,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly,USD,t,t,36.07,20.00,43.29,prod_SRULnHxcFgVR4D,price_1RWbMfQFjuwkEDFb9Upe5cCb,2024-12-24 14:13:16.816859,2025-12-03 13:42:54.472341,,36.07,43.29,price_1RWbMfQFjuwkEDFb9Upe5cCb,9,controlplus,month,1,,main
88,CP+ Subscription,CP+ Subscription Plan,upplus,USD,t,t,432.90,20.00,519.48,prod_SRULXJFvmlsJmb,price_1RWbMeQFjuwkEDFb24n8ShVF,2024-12-24 14:13:16.973188,2025-12-03 13:42:54.494856,,432.90,519.48,price_1RWbMeQFjuwkEDFb24n8ShVF,9,controlplus,year,1,,main
89,UP+ Subscription 2 years,UP+ Subscription 2 years Plan,upplus_2y,USD,t,t,200.00,20.00,240.00,prod_SRULDngwUgGNMF,price_1RWbMcQFjuwkEDFbWWdCm9NW,2024-12-24 14:13:17.118269,2025-06-05 10:49:39.198472,,200.00,240.00,price_1RWbMcQFjuwkEDFbWWdCm9NW,9,controlplus,year,2,,main
90,CP+ Subscription weekly,CP+ Subscription Weekly Plan,upplus_weekly,USD,t,t,8.33,20.00,9.99,prod_SRULNA7kLphVMG,price_1RWbMbQFjuwkEDFbmrMRTTEc,2024-12-24 14:13:17.259861,2025-12-03 13:42:54.694659,,8.33,9.99,price_1RWbMbQFjuwkEDFbmrMRTTEc,9,controlplus,week,1,,main
91,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_2_monthly,USD,t,t,8.33,20.00,9.99,prod_SRUL1sh7EI569a,price_1RWbMZQFjuwkEDFbTGjcy0PS,2025-01-20 09:07:24.46743,2025-12-03 13:42:54.59169,,8.33,9.99,price_1RWbMZQFjuwkEDFbTGjcy0PS,9,controlplus,month,1,,main
92,CP+ Subscription,CP+ Subscription Plan,upplus_2,USD,t,t,99.99,20.00,119.99,prod_SRULKwx5sx9xsi,price_1RWbMYQFjuwkEDFbOfKZ8hH1,2025-01-20 09:07:24.720623,2025-12-03 13:42:54.674542,,99.99,119.99,price_1RWbMYQFjuwkEDFbOfKZ8hH1,9,controlplus,year,1,,main
93,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly,USD,t,t,37.38,20.00,44.86,prod_SRULeIRMFJ32M8,price_1RWbMWQFjuwkEDFb4ykoD7EG,2025-02-07 10:29:20.03025,2025-12-03 13:42:54.79146,,37.38,44.86,price_1RWbMWQFjuwkEDFb4ykoD7EG,9,controlplus,month,3,,main
94,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear,USD,t,t,75.74,20.00,90.89,prod_SRULlAYRj37AIU,price_1RWbN3QFjuwkEDFbuYbLKTeH,2025-02-07 10:29:20.191693,2025-12-03 13:42:54.873917,,75.74,90.89,price_1RWbN3QFjuwkEDFbuYbLKTeH,9,controlplus,month,6,,main
95,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly_web2wave,USD,t,t,12.49,20.00,14.99,prod_SRULNLLSAxNudD,price_1RWbN2QFjuwkEDFbCCKmXc2q,2025-03-21 10:33:56.095515,2025-12-03 13:42:55.173382,,12.49,14.99,price_1RWbN2QFjuwkEDFbCCKmXc2q,9,controlplus,month,1,,main
96,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_web2wave,USD,t,t,29.15,20.00,34.99,prod_SRULrykRovzUNc,price_1RWbN0QFjuwkEDFbAtbcN76N,2025-03-21 10:33:56.2566,2025-12-03 13:42:55.193803,,29.15,34.99,price_1RWbN0QFjuwkEDFbAtbcN76N,9,controlplus,month,3,,main
97,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear_web2wave,USD,t,t,41.65,20.00,49.99,prod_SRULpemPJwn30j,price_1RWbMyQFjuwkEDFb10RcoiTq,2025-03-21 10:33:56.403315,2025-12-03 13:42:55.273244,,41.65,49.99,price_1RWbMyQFjuwkEDFb10RcoiTq,9,controlplus,month,6,,main
